case_history_id,category,classification_sources,evidence
bza-27-24-014e8967b0,lot_dimensions,direct,"[""excessive lot width"", ""lot width proposed""]"
bza-33-24-f8b434d5ad,lot_dimensions,direct,"[""deficient lot area"", ""deficient lot width""]"
bza-34-21-04aac96c4f,lot_dimensions,direct,"[""lot area required"", ""minimum lot area""]"
bza-41-24-ea692df8b1,lot_dimensions,direct,"[""excessive lot width"", ""lot width proposed""]"
bza-43-22-cb2a611acd,lot_dimensions,direct,"[""excessive lot width""]"
bza-44-21-19025a6ffc,lot_dimensions,direct,"[""deficient lot square footage"", ""deficient lot width""]"
bza-45-21-6ac1bdcc56,lot_dimensions,direct,"[""deficient lot square footage"", ""deficient lot width""]"
bza-46-19-c14dfe54e8,lot_dimensions,direct,"[""lot width required"", ""minimum lot width""]"
bza-56-21-13962dbe62,lot_dimensions,direct,"[""deficient lot area""]"
bza-59-21-1c38dd3618,lot_dimensions,direct,"[""insufficient lot size""]"
bza-62-24-e9793916e2,lot_dimensions,direct,"[""deficient lot size"", ""deficient lot width""]"
bza-63-22-01da7e63d3,lot_dimensions,direct,"[""minimum lot size"", ""minimum lot width""]"
bza-64-24-a56bb532d6,lot_dimensions,direct,"[""excessive lot width""]"
bza-77-19-a7f510e04a,lot_dimensions,direct,"[""excessive lot size"", ""excessive lot width""]"
bza-77-24-8710bfed88,lot_dimensions,direct,"[""excessive lot width""]"
bza-82-24-c4233e3f2a,lot_dimensions,direct,"[""minimum lot area""]"
bza-86-19-fdba0c918b,lot_dimensions,direct,"[""deficient lot area""]"
bza-bseed-slu2022-00038-7072ea4ca4,lot_dimensions,direct,"[""excessive lot width""]"
bza-bza2025-00045-d453f7d2bf,lot_dimensions,direct,"[""lot area required"", ""lot width required""]"
bza-12-21-ad158761eb,multiple_buildings,direct,"[""more than one principal detached residential building""]"
bza-24-25-67f735277c,multiple_buildings,direct,"[""more than one principal detached residential building""]"
bza-4-24-1781607356,multiple_buildings,direct,"[""more than one principal detached residential building""]"
bza-5-24-129e13df5d,multiple_buildings,direct,"[""more than one principal detached residential building""]"
bza-50-22-e2dd6e5b59,multiple_buildings,direct,"[""excessive number of principal detached residential buildings""]"
bza-61-24-a638176bcc,multiple_buildings,direct,"[""more than one principal detached residential building""]"
bza-68-24-956bfd6d3d,multiple_buildings,direct,"[""more than one principal building""]"
bza-1-20-b402ab3506,nonconforming_use_or_structure,direct,"[""change of nonconforming use to other nonconforming"", ""change of one nonconforming use to another nonconforming"", ""changed to another nonconforming"", ""nonconforming use""]"
bza-10-25-d76fac624f,nonconforming_use_or_structure,direct,"[""change from one nonconforming use (bank with drive thru) to another nonconforming"", ""change of nonconforming use to other nonconforming"", ""change of one nonconforming use to another nonconforming"", ""changed to another nonconforming"", ""nonconforming use""]"
bza-102-19-118cde75ec,nonconforming_use_or_structure,direct,"[""changed to another nonconforming"", ""nonconforming use""]"
bza-11-20-6f01bb250d,nonconforming_use_or_structure,direct,"[""expansion of the nonconforming use. any increase in the area of a zoning lot where a nonconforming"", ""expansion of the nonconforming use;(2) any change to the site plan of a nonconforming"", ""expansion or intensification of a nonconforming"", ""nonconforming use""]"
bza-11-23-100fdb0043,nonconforming_use_or_structure,direct,"[""expand and intensify an existing nonconforming"", ""expansion and intensification of a nonconforming"", ""expansion or intensification of a nonconforming"", ""expansion or intensification of nonconforming"", ""nonconforming use""]"
bza-11-24-fe29e0d378,nonconforming_use_or_structure,direct,"[""expansion of nonconforming"", ""expansion of the legal existing nonconforming"", ""expansion of the nonconforming"", ""expansion or intensification of nonconforming"", ""nonconforming use""]"
bza-11-25-9414020318,nonconforming_use_or_structure,direct,"[""change from one nonconforming use to another nonconforming"", ""change of nonconforming use to other nonconforming"", ""change of one nonconforming use to another nonconforming"", ""changed to another nonconforming"", ""nonconforming use""]"
bza-12-24-a6fc69b387,nonconforming_use_or_structure,direct,"[""change of nonconforming use to other nonconforming"", ""change of one nonconforming use to another nonconforming"", ""changed to another nonconforming"", ""nonconforming use""]"
bza-13-19-d1848d1cb5,nonconforming_use_or_structure,direct,"[""change a nonconforming"", ""change of use to other nonconforming"", ""changed to another nonconforming"", ""nonconforming use""]"
bza-17-21-b8c081e0c9,nonconforming_use_or_structure,direct,"[""change from one nonconforming use to another nonconforming use. the current nonconforming"", ""change of nonconforming use to other nonconforming"", ""change of one nonconforming use to another nonconforming"", ""changed from a nonconforming"", ""changed to another nonconforming"", ""nonconforming use""]"
bza-2-19-dafba32633,nonconforming_use_or_structure,direct,"[""expansion or intensification of a nonconforming"", ""expansion or intensification of nonconforming"", ""nonconforming use""]"
bza-20-24-2cf05e2c11,nonconforming_use_or_structure,direct,"[""expand a legal nonconforming"", ""expansion of nonconforming""]"
bza-25-21-6318646cda,nonconforming_use_or_structure,direct,"[""expand an existing nonconforming"", ""expansion or intensification of a nonconforming"", ""expansion or intensification of nonconforming"", ""nonconforming use""]"
bza-28-20-22cfec2a50,nonconforming_use_or_structure,direct,"[""changed to another nonconforming"", ""expansion or intensification of nonconforming"", ""nonconforming use""]"
bza-29-19-be10fad016,nonconforming_use_or_structure,direct,"[""expansion of the nonconforming use. any increase in the area of a zoning lot where a nonconforming"", ""expansion of the nonconforming use; (2) any change to the site plan of a nonconforming"", ""expansion or intensification of a nonconforming"", ""intensification of nonconforming"", ""intensification of the nonconforming"", ""nonconforming use""]"
bza-29-20-787a86c963,nonconforming_use_or_structure,direct,"[""change a nonconforming dry cleaners to a nonconforming"", ""change from a nonconforming dry cleaners to a nonconforming"", ""change of nonconforming use to other nonconforming"", ""change of one nonconforming use to another nonconforming"", ""changed to another nonconforming"", ""nonconforming use""]"
bza-31-19-2cf7ef7116,nonconforming_use_or_structure,direct,"[""expansion of the nonconforming use. any increase in the area of a zoning lot where a nonconforming"", ""expansion of the nonconforming use; (2) any change to the site plan of a nonconforming"", ""expansion or intensification of a nonconforming"", ""intensification of the nonconforming use. (sections 61-15-16 intensification of nonconforming"", ""nonconforming use""]"
bza-32-21-04cdb9c55b,nonconforming_use_or_structure,direct,"[""change from one nonconforming use (auto repair facility) to another nonconforming"", ""change of nonconforming use to other nonconforming"", ""change of one nonconforming use to another nonconforming"", ""changed to another nonconforming"", ""nonconforming use""]"
bza-34-20-ee36e5ccb2,nonconforming_use_or_structure,direct,"[""change from one nonconforming use to another nonconforming use. the current nonconforming"", ""change of nonconforming use to other nonconforming"", ""change of one nonconforming use to another nonconforming"", ""changed to another nonconforming"", ""nonconforming use""]"
bza-35-19-a7022fa187,nonconforming_use_or_structure,direct,"[""change of nonconforming use to other nonconforming"", ""changed to another nonconforming"", ""nonconforming use""]"
bza-38-23-2b956d227e,nonconforming_use_or_structure,direct,"[""nonconforming restaurant""]"
bza-38-24-5cdec3b56e,nonconforming_use_or_structure,direct,"[""change from one nonconforming use (hotel) to another nonconforming"", ""change of nonconforming use to other nonconforming"", ""change of one nonconforming use to another nonconforming"", ""changed to another nonconforming"", ""nonconforming use""]"
bza-39-23-9f515fc65e,nonconforming_use_or_structure,direct,"[""change of nonconforming use to other nonconforming"", ""change of one nonconforming use to another nonconforming"", ""changed to another nonconforming"", ""expand a nonconforming"", ""nonconforming use""]"
bza-40-22-1bccc643ae,nonconforming_use_or_structure,direct,"[""change from one non-conforming use (carryout restaurant) to another nonconforming"", ""change to another nonconforming"", ""nonconforming use""]"
bza-49-21-1a9cf8794a,nonconforming_use_or_structure,direct,"[""expansion or intensification of nonconforming""]"
bza-53-19-966124a009,nonconforming_use_or_structure,direct,"[""nonconforming billboard""]"
bza-55-22-5f45ad09c6,nonconforming_use_or_structure,direct,"[""change from one nonconforming use (retail store w/sdm & sdd licenses) to another nonconforming"", ""change of nonconforming use to other nonconforming"", ""change of one nonconforming use to another nonconforming"", ""changed to another nonconforming"", ""nonconforming use""]"
bza-55-24-5abfd2ee33,nonconforming_use_or_structure,direct,"[""expand an existing nonconforming"", ""expansion of nonconforming"", ""expansion of the nonconforming"", ""nonconforming use""]"
bza-59-24-7f6f8d4dde,nonconforming_use_or_structure,direct,"[""expand a legal nonconforming""]"
bza-63-24-ee881c1b59,nonconforming_use_or_structure,direct,"[""re-establish a currently nonconforming""]"
bza-67-24-6a04eb879d,nonconforming_use_or_structure,direct,"[""expand existing nonconforming"", ""expansion includes any change to the site plan of a nonconforming"", ""expansion or intensification of a nonconforming"", ""nonconforming use""]"
bza-73-22-965d798f67,nonconforming_use_or_structure,direct,"[""change of nonconforming use to other nonconforming"", ""change the current nonconforming"", ""expand the restaurant, standard nonconforming"", ""nonconforming use""]"
bza-74-19-05e355c7b2,nonconforming_use_or_structure,direct,"[""change from the current legal use “vacant” (the previous legal nonconforming"", ""change of nonconforming use to other nonconforming"", ""changed to another nonconforming"", ""nonconforming use""]"
bza-76-24-6ee5d23546,nonconforming_use_or_structure,direct|inherited_case_history,"[""expand a legal nonconforming"", ""expansion of the nonconforming"", ""expansion of the nonconforming use. any increase in the area of a zoning lot where a nonconforming"", ""expansion or intensification of a nonconforming"", ""nonconforming use""]"
bza-78-18-85c69b7830,nonconforming_use_or_structure,direct,"[""change of use to other nonconforming"", ""change one nonconforming"", ""changed to another nonconforming"", ""nonconforming use""]"
bza-82-19-94ef549a4a,nonconforming_use_or_structure,direct,"[""change of nonconforming use to other nonconforming"", ""changed to another nonconforming"", ""nonconforming use""]"
bza-89-19-2ba8fd28cf,nonconforming_use_or_structure,direct|inherited_case_history,"[""change a nonconforming"", ""change of nonconforming"", ""changed to another nonconforming"", ""nonconforming marina"", ""nonconforming use""]"
bza-9-21-310ddefa62,nonconforming_use_or_structure,direct,"[""expand an existing nonconforming"", ""expansion of a nonconforming"", ""expansion or intensification of a nonconforming"", ""expansion or intensification of nonconforming"", ""nonconforming use""]"
bza-bza2026-00051-ccc5f5dbb5,nonconforming_use_or_structure,direct,"[""expand a nonconforming"", ""expansion or intensification of a nonconforming"", ""expansion or intensification of nonconforming"", ""nonconforming use""]"
bza-29-23-1e6ae3ddb9,open_recreation_space,direct,"[""deficient recreational space""]"
bza-30-23-0932bf1f77,open_recreation_space,direct,"[""deficient recreational space""]"
bza-31-23-4dc13ed6eb,open_recreation_space,direct,"[""deficient recreational space""]"
bza-32-23-5510e7b99d,open_recreation_space,direct|inherited_case_history,"[""deficient recreational space""]"
bza-34-23-b9a318fe90,open_recreation_space,direct,"[""deficient recreational space""]"
bza-35-23-80eeb47028,open_recreation_space,direct,"[""deficient recreational space""]"
bza-07-23-9b431ff07a,parking_layout,direct,"[""excessive parking lot size""]"
bza-105-19-6f26fdbf3e,parking_layout,direct,"[""maximum parking lot distance""]"
bza-21-23-1b926e9998,parking_layout,direct,"[""excessive parking lot size""]"
bza-27-24-014e8967b0,parking_layout,direct,"[""excessive parking lot size""]"
bza-29-20-787a86c963,parking_layout,direct,"[""deficient aisle width""]"
bza-30-25-701e35d3e8,parking_layout,direct,"[""excessive parking lot size""]"
bza-41-24-ea692df8b1,parking_layout,direct,"[""excessive parking lot size""]"
bza-44-22-b4c125acb3,parking_layout,direct,"[""excessive parking lot size""]"
bza-59-24-7f6f8d4dde,parking_layout,direct,"[""deficient aisle width""]"
bza-64-24-a56bb532d6,parking_layout,direct,"[""excessive parking lot size""]"
bza-77-24-8710bfed88,parking_layout,direct,"[""excessive parking lot size""]"
bza-06-21-e118eb8f66,parking_supply,direct,"[""off-street parking spaces required""]"
bza-06-22-239afc0021,parking_supply,direct,"[""deficient parking"", ""parking variance""]"
bza-08-23-aa01dd18f0,parking_supply,direct,"[""deficient parking""]"
bza-10-21-ae57d08409,parking_supply,direct,"[""deficient parking""]"
bza-10-24-4e76e64453,parking_supply,direct,"[""deficient parking""]"
bza-10-25-d76fac624f,parking_supply,direct,"[""deficient parking""]"
bza-101-19-2b70c94d41,parking_supply,direct,"[""parking variance""]"
bza-103-19-b51a4c7926,parking_supply,direct,"[""deficient parking""]"
bza-11-22-50abfc40df,parking_supply,direct,"[""deficient parking"", ""off-street parking required""]"
bza-110-19-6035ce5f01,parking_supply,direct,"[""parking variance""]"
bza-111-19-7252fe4512,parking_supply,direct,"[""parking variance""]"
bza-112-19-8bdcb1c11b,parking_supply,direct,"[""deficient off street parking"", ""parking variance""]"
bza-12-24-a6fc69b387,parking_supply,direct,"[""deficient parking""]"
bza-14-19-184cee7e49,parking_supply,direct,"[""parking variance""]"
bza-14-25-61fbd5eb1b,parking_supply,direct,"[""deficient parking""]"
bza-15-25-aa055fbabb,parking_supply,direct,"[""deficient parking"", ""off-street parking spaces required"", ""parking variance""]"
bza-17-24-ce52cb3966,parking_supply,direct,"[""deficient parking""]"
bza-18-23-535a07c23f,parking_supply,direct,"[""deficient parking""]"
bza-18-24-b7d9862137,parking_supply,direct,"[""deficient off-street parking""]"
bza-19-23-ed15514286,parking_supply,direct,"[""deficient off street parking""]"
bza-23-23-d43e4e845a,parking_supply,direct,"[""parking waiver""]"
bza-24-21-9280554649,parking_supply,direct,"[""deficient parking"", ""parking variance""]"
bza-24-23-39f2ee37b3,parking_supply,direct,"[""deficient off-street parking""]"
bza-24-24-ba03fb1f1d,parking_supply,direct,"[""deficient parking"", ""parking spaces required""]"
bza-25-24-e30fbc8699,parking_supply,direct,"[""deficient parking"", ""parking spaces required""]"
bza-27-23-9c40617de8,parking_supply,direct,"[""deficient off-street parking""]"
bza-27-25-b460cdbf7e,parking_supply,direct,"[""deficient parking""]"
bza-29-20-787a86c963,parking_supply,direct,"[""deficient parking""]"
bza-29-23-1e6ae3ddb9,parking_supply,direct,"[""deficient parking""]"
bza-29-24-6d70f0b779,parking_supply,direct,"[""parking waiver""]"
bza-3-22-cd12f2bbc2,parking_supply,direct,"[""deficient parking""]"
bza-31-21-ace9be1d9d,parking_supply,direct,"[""deficient parking""]"
bza-31-24-5f6ef1ba25,parking_supply,direct,"[""parking spaces required""]"
bza-32-24-9d20f69e4b,parking_supply,direct,"[""deficient parking"", ""parking spaces required"", ""parking variance""]"
bza-33-23-9df1fa2044,parking_supply,direct,"[""deficient parking""]"
bza-34-20-ee36e5ccb2,parking_supply,direct,"[""deficient parking"", ""parking variance""]"
bza-35-24-7b8306b2c9,parking_supply,direct,"[""deficient parking"", ""parking spaces required""]"
bza-38-19-f657c9531f,parking_supply,direct,"[""deficient off-street-parking"", ""parking variance""]"
bza-38-20-ee1ac31af4,parking_supply,direct,"[""deficient parking""]"
bza-38-24-5cdec3b56e,parking_supply,direct,"[""deficient parking""]"
bza-40-19-aae5d99948,parking_supply,direct,"[""deficient parking""]"
bza-40-22-1bccc643ae,parking_supply,direct,"[""deficient parking""]"
bza-40-24-8e2b4f04b1,parking_supply,direct,"[""deficient parking"", ""parking spaces required""]"
bza-41-21-988b579aea,parking_supply,direct,"[""parking variance""]"
bza-42-20-373295a30e,parking_supply,direct,"[""deficient parking""]"
bza-43-20-83bc71214b,parking_supply,direct,"[""deficient parking""]"
bza-5-25-489295d35a,parking_supply,direct,"[""deficient parking"", ""parking variance""]"
bza-50-22-e2dd6e5b59,parking_supply,direct,"[""deficient off-street parking""]"
bza-53-22-f89cd6be57,parking_supply,direct,"[""parking variance""]"
bza-58-22-943196124c,parking_supply,direct,"[""deficient off street parking"", ""parking spaces required""]"
bza-58-24-6532bebb8a,parking_supply,direct,"[""deficient parking""]"
bza-60-21-edd97a26a1,parking_supply,direct,"[""deficient off-street parking""]"
bza-60-24-fc667bdd68,parking_supply,direct,"[""deficient parking""]"
bza-66-24-27cac6bb0f,parking_supply,direct,"[""deficient parking""]"
bza-67-18-3e522c88c3,parking_supply,direct,"[""parking spaces required""]"
bza-7-25-6f5b94d140,parking_supply,direct,"[""parking waiver""]"
bza-78-19-9477858622,parking_supply,direct,"[""parking variance""]"
bza-80-24-eb9518e9ff,parking_supply,direct,"[""deficient parking""]"
bza-82-24-c4233e3f2a,parking_supply,direct,"[""deficient parking""]"
bza-84-24-6f5548ffcb,parking_supply,direct,"[""parking waiver""]"
bza-88-19-07e1969543,parking_supply,direct,"[""parking spaces required""]"
bza-bza2025-00044-8af9060833,parking_supply,direct,"[""deficient parking""]"
bza-1-24-938659c379,request_not_stated,not_stated,[]
bza-27-18-c8ce2a7370,request_not_stated,not_stated,[]
bza-31-22-0443674bdf,request_not_stated,not_stated,[]
bza-36-19-2ede43fee8,request_not_stated,not_stated,[]
bza-39-19-5ad28b381f,request_not_stated,not_stated,[]
bza-4-22-321d323913,request_not_stated,not_stated,[]
bza-52-23-a7b9086fdb,request_not_stated,not_stated,[]
bza-53-23-cdc298d7fd,request_not_stated,not_stated,[]
bza-54-23-6eab1a3ade,request_not_stated,not_stated,[]
bza-65-33-781a0accb3,request_not_stated,not_stated,[]
bza-70-24-782fb1ee01,request_not_stated,not_stated,[]
bza-18-24-b7d9862137,screening_landscaping,direct,"[""deficient right-of-way screening""]"
bza-25-20-0c7c6c8bde,screening_landscaping,direct,"[""deficient opacity""]"
bza-29-20-787a86c963,screening_landscaping,direct,"[""deficient residential screening"", ""deficient right of way screening""]"
bza-34-20-ee36e5ccb2,screening_landscaping,direct,"[""deficient opacity""]"
bza-42-24-3db62ad7f6,screening_landscaping,direct,"[""deficient right of way screening""]"
bza-43-20-83bc71214b,screening_landscaping,direct,"[""deficient right of way screening""]"
bza-59-24-7f6f8d4dde,screening_landscaping,direct,"[""deficient residential screening"", ""deficient right of way screening""]"
bza-74-22-7d9c062553,screening_landscaping,direct,"[""deficient residential screening""]"
bza-78-18-85c69b7830,screening_landscaping,direct,"[""landscaping required""]"
bza-1-21-97e069a509,setbacks_yards,direct,"[""deficient front yard"", ""deficient front yard setback""]"
bza-13-21-993080da6c,setbacks_yards,direct,"[""side setback required""]"
bza-13-22-b4f37988c4,setbacks_yards,direct,"[""deficient side setback"", ""side setback required""]"
bza-13-23-fa2355c165,setbacks_yards,direct,"[""deficient front yard"", ""deficient front yard setback""]"
bza-14-25-61fbd5eb1b,setbacks_yards,direct,"[""deficient front yard"", ""deficient front yard setback"", ""deficient side yard"", ""deficient side yard setback""]"
bza-20-23-dab8c7b9c0,setbacks_yards,direct,"[""deficient front yard"", ""deficient front yard setback"", ""deficient side yard""]"
bza-24-19-98cd3d897f,setbacks_yards,direct,"[""rear setback required""]"
bza-24-23-39f2ee37b3,setbacks_yards,direct,"[""deficient front setback""]"
bza-28-20-22cfec2a50,setbacks_yards,direct,"[""rear setback required""]"
bza-29-23-1e6ae3ddb9,setbacks_yards,direct,"[""deficient front yard"", ""deficient front yard setback"", ""deficient side yard"", ""deficient side yard setback""]"
bza-30-23-0932bf1f77,setbacks_yards,direct,"[""deficient front yard"", ""deficient front yard setback"", ""deficient rear setback"", ""deficient rear yard"", ""deficient rear yard setback""]"
bza-31-23-4dc13ed6eb,setbacks_yards,direct,"[""deficient front setback"", ""deficient side setback""]"
bza-32-23-5510e7b99d,setbacks_yards,direct|inherited_case_history,"[""deficient rear yard"", ""deficient rear yard setback"", ""deficient side yard"", ""deficient side yard setback""]"
bza-33-23-9df1fa2044,setbacks_yards,direct,"[""deficient front setback"", ""deficient side yard"", ""deficient side yard setback""]"
bza-34-23-b9a318fe90,setbacks_yards,direct,"[""deficient front setback""]"
bza-35-23-80eeb47028,setbacks_yards,direct,"[""deficient front yard"", ""deficient front yard setback""]"
bza-36-23-eb4390b021,setbacks_yards,direct,"[""deficient side setback"", ""deficient side yard"", ""deficient side yard setback""]"
bza-37-24-f961ca02ca,setbacks_yards,direct,"[""deficient setback"", ""deficient side setback""]"
bza-42-20-373295a30e,setbacks_yards,direct,"[""deficient front setback"", ""deficient rear setback""]"
bza-44-19-3332e2b636,setbacks_yards,direct,"[""side setback required""]"
bza-44-21-19025a6ffc,setbacks_yards,direct,"[""deficient front setback"", ""deficient rear yard"", ""deficient rear yard setback"", ""deficient side yard"", ""deficient side yard set back""]"
bza-45-21-6ac1bdcc56,setbacks_yards,direct,"[""deficient front setback"", ""deficient rear yard"", ""deficient rear yard setback"", ""deficient side yard"", ""deficient side yard set back""]"
bza-46-22-492c5e629d,setbacks_yards,direct,"[""deficient rear yard"", ""deficient rear yard setback""]"
bza-47-24-192327b733,setbacks_yards,direct,"[""rear setback deficien"", ""rear setback proposed"", ""rear setback required""]"
bza-50-22-e2dd6e5b59,setbacks_yards,direct,"[""deficient front setback"", ""deficient rear setback"", ""deficient side setback""]"
bza-52-22-dbe49059e9,setbacks_yards,direct,"[""deficient side setback"", ""side setback required""]"
bza-56-21-13962dbe62,setbacks_yards,direct,"[""deficient front setback""]"
bza-59-21-1c38dd3618,setbacks_yards,direct,"[""deficient front setback""]"
bza-59-22-b75dd5795b,setbacks_yards,direct,"[""deficient side setback""]"
bza-61-24-a638176bcc,setbacks_yards,direct,"[""deficient rear yard"", ""deficient rear yard setback""]"
bza-62-22-fb5b5b77b1,setbacks_yards,direct,"[""deficient setback""]"
bza-62-24-e9793916e2,setbacks_yards,direct,"[""deficient front setback"", ""deficient front yard"", ""deficient front yard setback""]"
bza-63-22-01da7e63d3,setbacks_yards,direct,"[""deficient side yard"", ""deficient side yard setback""]"
bza-65-24-4abb08cb2f,setbacks_yards,direct,"[""rear setback required""]"
bza-77-24-8710bfed88,setbacks_yards,direct,"[""deficient rear set back""]"
bza-82-24-c4233e3f2a,setbacks_yards,direct,"[""deficient front setback"", ""deficient rear yard"", ""deficient rear yard setback"", ""deficient side setback""]"
bza-84-19-5eb320fb4c,setbacks_yards,direct,"[""side set back required""]"
bza-86-19-fdba0c918b,setbacks_yards,direct,"[""deficient side yard"", ""deficient side yard setback""]"
bza-90-19-38e31cc945,setbacks_yards,direct,"[""deficient side yard""]"
bza-bza2025-00045-d453f7d2bf,setbacks_yards,direct,"[""deficient front setback""]"
bza-bza2025-00048-3d30f83bb6,setbacks_yards,direct,"[""deficient rear setback""]"
bza-bza2026-00009-e187ef5c5d,setbacks_yards,direct,"[""deficient side yard"", ""deficient side yard setback""]"
bza-3-20-ab5d59efc6,signs_billboards,direct,"[""advertising sign""]"
bza-34-19-e402408898,signs_billboards,direct,"[""erect an internally illuminated sign""]"
bza-37-19-b5facb6e4c,signs_billboards,direct,"[""add identification sign""]"
bza-53-19-966124a009,signs_billboards,direct,"[""nonconforming billboard"", ""replace an existing non-conforming billboard""]"
bza-65-19-ece5db0d26,signs_billboards,direct,"[""excessive sign"", ""roof sign""]"
bza-76-19-5db6a813e8,signs_billboards,direct,"[""excessive electronic message board""]"
bza-87-19-86a1450728,signs_billboards,direct|inherited_case_history,"[""erect a billboard""]"
bza-99-19-59f6443f73,signs_billboards,direct,"[""billboard""]"
bza-03-23-cdc3a2629c,use_spacing_separation,direct,"[""drug-free zone""]"
bza-06-17-1938c13e88,use_spacing_separation,direct,"[""within 1,000 radial feet""]"
bza-1-25-e8e3ff71db,use_spacing_separation,direct,"[""dimensional spacing variance""]"
bza-106-17-de942bc315,use_spacing_separation,direct,"[""drug free zone"", ""within 1000 feet""]"
bza-107-19-7c49964699,use_spacing_separation,direct,"[""drug free zone"", ""drug-free zone"", ""within 1,000 radial feet"", ""within 1000 radial feet""]"
bza-116-16-902857b7a3,use_spacing_separation,direct,"[""within 1,000 radial feet""]"
bza-116-17-28da9b4180,use_spacing_separation,direct,"[""drug free zone"", ""within 1000 feet""]"
bza-12-19-8f68a059f3,use_spacing_separation,direct,"[""within 500 radial feet""]"
bza-13-19-d1848d1cb5,use_spacing_separation,direct,"[""within 1,000 feet""]"
bza-13-25-2c39937285,use_spacing_separation,direct,"[""dimensional spacing variance"", ""spacing variance""]"
bza-14-17-07ea6a1a53,use_spacing_separation,direct,"[""within 1,000 radial feet""]"
bza-16-23-d69ef06e72,use_spacing_separation,direct,"[""drug free zone"", ""within 1,000 feet""]"
bza-16-24-5938101fbe,use_spacing_separation,direct,"[""spacing variance"", ""within 1,000 radial feet""]"
bza-20-19-f02fd63021,use_spacing_separation,direct,"[""within 1,000 radial feet""]"
bza-20-24-2cf05e2c11,use_spacing_separation,direct,"[""within 2,000 feet""]"
bza-26-17-06a09b7674,use_spacing_separation,direct|inherited_case_history,"[""within 1,000 radial feet""]"
bza-27-19-79df09a810,use_spacing_separation,direct,"[""drug free zone"", ""within 1000 radial feet""]"
bza-33-21-ebd11a8b91,use_spacing_separation,direct,"[""within 820 feet""]"
bza-36-24-25e89f7eb8,use_spacing_separation,direct,"[""drug free zone"", ""within 1000 radial feet"", ""within 750 radial feet""]"
bza-43-19-df0b0c111b,use_spacing_separation,direct,"[""variance of spacing regulation"", ""within 1,000 radial feet""]"
bza-45-24-0ac7b21e08,use_spacing_separation,direct,"[""within 1,000 radial feet""]"
bza-49-18-7931dced47,use_spacing_separation,direct,"[""within 1,000 radial feet""]"
bza-49-24-176da3f813,use_spacing_separation,direct,"[""spacing variance""]"
bza-51-19-16581fdd54,use_spacing_separation,direct,"[""drug free zone"", ""drug-free zone"", ""within 1000 radial feet""]"
bza-51-24-646801293c,use_spacing_separation,direct,"[""within 1,000 radial feet""]"
bza-55-19-0f4e1aa768,use_spacing_separation,direct,"[""spacing variance"", ""within 1,000 feet"", ""within 1000 feet""]"
bza-56-22-ec38b25482,use_spacing_separation,direct,"[""within 1000 radial feet""]"
bza-57-18-3495b99b21,use_spacing_separation,direct|inherited_case_history,"[""drug free zone"", ""within 1,000 radial feet"", ""within 1000 feet""]"
bza-60-19-c1f3b6a77d,use_spacing_separation,direct,"[""drug free zone"", ""drug-free zone""]"
bza-62-19-80921f9b24,use_spacing_separation,direct,"[""within 1,000 feet""]"
bza-63-19-7f94d4aa9b,use_spacing_separation,direct,"[""within 1,000 feet""]"
bza-68-18-995664bec8,use_spacing_separation,direct,"[""drug free zone""]"
bza-75-18-7d8e616722,use_spacing_separation,direct,"[""drug free zone""]"
bza-76-18-cbc171d150,use_spacing_separation,direct,"[""drug free zone"", ""within 950 feet""]"
bza-76-19-8948b8b0cf,use_spacing_separation,direct,"[""drug free zone"", ""drug-free zone"", ""within 950 feet""]"
bza-77-18-95afed9f1e,use_spacing_separation,direct,"[""within 759 feet""]"
bza-79-18-d186bad83f,use_spacing_separation,direct|inherited_case_history,"[""within 1,000 radial feet""]"
bza-8-19-5feed4f6f4,use_spacing_separation,direct,"[""drug free zone""]"
bza-80-17-303a06ac56,use_spacing_separation,direct,"[""within 1,000 radial feet""]"
bza-81-19-7c4a7d5065,use_spacing_separation,direct,"[""within 1000 feet""]"
bza-85-24-ae3e833dfd,use_spacing_separation,direct,"[""dimensional spacing variance""]"
bza-9-19-4602d22e22,use_spacing_separation,direct,"[""drug free zone"", ""within 1000 radial feet""]"
bza-9-24-bb584396c6,use_spacing_separation,direct,"[""spacing variance"", ""within 1,000 radial feet""]"
bza-94-17-ef14740afe,use_spacing_separation,direct,"[""within 1,000 radial feet""]"
bza-98-19-99e1df0223,use_spacing_separation,direct,"[""spacing variance"", ""within 1,000 feet""]"
